attack_type,security_tools_used,industry
Ransomware,SIEM,Retail
SQL Injection,WAF,Education
SQL Injection,Antivirus,Healthcare
Cross-Site Scripting,IDS,Government
SQL Injection,VPN,Government
Malware,MFA,Retail
Zero-Day Exploit,VPN,Education
Phishing,Endpoint Detection,Healthcare
Cross-Site Scripting,MFA,Energy
SQL Injection,SIEM,Technology
Zero-Day Exploit,MFA,Healthcare
Cross-Site Scripting,Endpoint Detection,Retail
Phishing,WAF,Technology
Malware,MFA,Education
DDoS,VPN,Manufacturing
Brute Force,Endpoint Detection,Retail
Zero-Day Exploit,IDS,Retail
Phishing,IDS,Finance
Malware,VPN,Government
SQL Injection,VPN,Education
Zero-Day Exploit,WAF,Finance
Phishing,IDS,Manufacturing
Zero-Day Exploit,Antivirus,Government
Zero-Day Exploit,Antivirus,Retail
Zero-Day Exploit,SIEM,Energy
Cross-Site Scripting,MFA,Retail
Zero-Day Exploit,IDS,Technology
Malware,IDS,Government
Ransomware,Endpoint Detection,Retail
Malware,Endpoint Detection,Retail
Zero-Day Exploit,Firewall,Healthcare
Ransomware,MFA,Energy
Brute Force,SIEM,Retail
SQL Injection,SIEM,Education
Ransomware,MFA,Technology
Malware,MFA,Finance
Malware,Antivirus,Energy
Cross-Site Scripting,WAF,Government
Zero-Day Exploit,Endpoint Detection,Technology
Malware,Endpoint Detection,Government
Brute Force,Endpoint Detection,Finance
SQL Injection,Endpoint Detection,Manufacturing
Malware,MFA,Government
Cross-Site Scripting,Endpoint Detection,Finance
Ransomware,Antivirus,Finance
Zero-Day Exploit,IDS,Retail
Brute Force,VPN,Finance
Malware,MFA,Technology
SQL Injection,WAF,Education
Ransomware,Antivirus,Retail
DDoS,Endpoint Detection,Finance
Brute Force,SIEM,Finance
Brute Force,Antivirus,Government
Cross-Site Scripting,MFA,Technology
SQL Injection,IDS,Energy
SQL Injection,WAF,Education
Ransomware,Antivirus,Government
Phishing,WAF,Manufacturing
DDoS,Firewall,Education
Cross-Site Scripting,VPN,Government
Malware,Endpoint Detection,Finance
Cross-Site Scripting,WAF,Energy
Brute Force,SIEM,Technology
DDoS,Firewall,Manufacturing
Ransomware,MFA,Finance
Ransomware,SIEM,Retail
Phishing,IDS,Healthcare
Ransomware,Antivirus,Technology
Ransomware,VPN,Education
SQL Injection,MFA,Energy
Malware,SIEM,Healthcare
Ransomware,Endpoint Detection,Energy
Malware,MFA,Healthcare
DDoS,WAF,Healthcare
Malware,Antivirus,Finance
Zero-Day Exploit,WAF,Finance
Phishing,IDS,Technology
Brute Force,MFA,Manufacturing
Ransomware,MFA,Healthcare
Phishing,Antivirus,Energy
Cross-Site Scripting,Endpoint Detection,Manufacturing
DDoS,SIEM,Manufacturing
Phishing,WAF,Technology
Cross-Site Scripting,MFA,Finance
Zero-Day Exploit,SIEM,Retail
Cross-Site Scripting,IDS,Government
Cross-Site Scripting,Firewall,Healthcare
Cross-Site Scripting,MFA,Retail
Zero-Day Exploit,MFA,Manufacturing
DDoS,Endpoint Detection,Finance
Zero-Day Exploit,Antivirus,Finance
Malware,IDS,Government
Zero-Day Exploit,WAF,Government
Cross-Site Scripting,SIEM,Retail
Brute Force,SIEM,Education
Phishing,VPN,Healthcare
Phishing,MFA,Government
SQL Injection,WAF,Government
DDoS,SIEM,Finance
SQL Injection,MFA,Government
Phishing,SIEM,Government
Malware,SIEM,Government
Cross-Site Scripting,Firewall,Technology
Phishing,WAF,Healthcare
Ransomware,Firewall,Energy
Malware,VPN,Technology
Brute Force,WAF,Energy
SQL Injection,MFA,Retail
DDoS,VPN,Government
Phishing,WAF,Healthcare
SQL Injection,Endpoint Detection,Retail
SQL Injection,IDS,Healthcare
Phishing,Antivirus,Technology
Malware,Antivirus,Finance
SQL Injection,IDS,Government
Cross-Site Scripting,Antivirus,Retail
DDoS,IDS,Healthcare
Zero-Day Exploit,IDS,Healthcare
Malware,Endpoint Detection,Energy
Ransomware,Firewall,Technology
Brute Force,Antivirus,Technology
Cross-Site Scripting,Antivirus,Energy
SQL Injection,SIEM,Healthcare
Malware,VPN,Finance
Phishing,WAF,Manufacturing
Malware,Antivirus,Government
Phishing,Antivirus,Education
Ransomware,SIEM,Retail
Phishing,IDS,Finance
Cross-Site Scripting,Antivirus,Education
Phishing,IDS,Finance
Brute Force,Firewall,Retail
Zero-Day Exploit,VPN,Finance
SQL Injection,Endpoint Detection,Manufacturing
Ransomware,IDS,Energy
SQL Injection,Firewall,Energy
Malware,VPN,Retail
Malware,WAF,Healthcare
Phishing,Antivirus,Technology
Cross-Site Scripting,WAF,Education
Zero-Day Exploit,SIEM,Government
Phishing,IDS,Finance
SQL Injection,SIEM,Education
Brute Force,Firewall,Education
Zero-Day Exploit,Antivirus,Finance
DDoS,Antivirus,Manufacturing
SQL Injection,MFA,Finance
Ransomware,Firewall,Education
Malware,Firewall,Finance
Ransomware,MFA,Energy
Phishing,Firewall,Healthcare
Ransomware,Endpoint Detection,Retail
Cross-Site Scripting,VPN,Technology
Ransomware,Antivirus,Energy
SQL Injection,MFA,Manufacturing
Zero-Day Exploit,WAF,Healthcare
Ransomware,VPN,Energy
Ransomware,VPN,Healthcare
Cross-Site Scripting,VPN,Energy
Ransomware,WAF,Healthcare
SQL Injection,IDS,Retail
Zero-Day Exploit,MFA,Finance
DDoS,Endpoint Detection,Education
Brute Force,MFA,Healthcare
SQL Injection,SIEM,Technology
Phishing,VPN,Government
Cross-Site Scripting,Antivirus,Energy
Ransomware,VPN,Government
Cross-Site Scripting,MFA,Manufacturing
Brute Force,SIEM,Retail
Ransomware,SIEM,Education
Ransomware,IDS,Technology
SQL Injection,VPN,Education
Zero-Day Exploit,Firewall,Retail
DDoS,Firewall,Finance
SQL Injection,SIEM,Manufacturing
Phishing,Endpoint Detection,Technology
SQL Injection,Firewall,Energy
Zero-Day Exploit,VPN,Government
Zero-Day Exploit,Antivirus,Education
DDoS,WAF,Retail
Cross-Site Scripting,Firewall,Retail
SQL Injection,Firewall,Retail
Brute Force,Antivirus,Manufacturing
Zero-Day Exploit,Firewall,Government
Zero-Day Exploit,Antivirus,Manufacturing
Ransomware,Endpoint Detection,Retail
Malware,WAF,Manufacturing
Cross-Site Scripting,Endpoint Detection,Manufacturing
DDoS,WAF,Energy
Brute Force,SIEM,Healthcare
SQL Injection,Firewall,Finance
SQL Injection,Endpoint Detection,Finance
Phishing,WAF,Government
Zero-Day Exploit,SIEM,Government
SQL Injection,Antivirus,Healthcare
Malware,SIEM,Government
Ransomware,IDS,Retail
Brute Force,WAF,Education
Phishing,SIEM,Energy
Malware,WAF,Finance
Ransomware,Antivirus,Energy
Zero-Day Exploit,Firewall,Healthcare
Ransomware,Antivirus,Education
Cross-Site Scripting,Firewall,Retail
DDoS,WAF,Retail
Brute Force,Endpoint Detection,Manufacturing
DDoS,IDS,Technology
Cross-Site Scripting,Endpoint Detection,Manufacturing
DDoS,Endpoint Detection,Technology
Brute Force,Firewall,Government
Phishing,Endpoint Detection,Technology
Brute Force,Endpoint Detection,Finance
Ransomware,Firewall,Government
Zero-Day Exploit,VPN,Energy
Brute Force,Endpoint Detection,Manufacturing
DDoS,WAF,Healthcare
Ransomware,Endpoint Detection,Manufacturing
Malware,IDS,Finance
Zero-Day Exploit,Antivirus,Energy
Ransomware,MFA,Finance
Phishing,Endpoint Detection,Healthcare
Cross-Site Scripting,Endpoint Detection,Technology
Zero-Day Exploit,VPN,Retail
Cross-Site Scripting,Firewall,Retail
DDoS,Antivirus,Retail
Brute Force,VPN,Government
Zero-Day Exploit,IDS,Technology
Zero-Day Exploit,IDS,Finance
Cross-Site Scripting,WAF,Retail
Phishing,VPN,Retail
Ransomware,WAF,Education
DDoS,Antivirus,Healthcare
Phishing,Antivirus,Finance
Phishing,VPN,Technology
Cross-Site Scripting,WAF,Finance
Malware,Antivirus,Manufacturing
Cross-Site Scripting,IDS,Energy
Brute Force,Firewall,Technology
Zero-Day Exploit,MFA,Manufacturing
Cross-Site Scripting,VPN,Healthcare
SQL Injection,WAF,Technology
Zero-Day Exploit,Firewall,Technology
DDoS,Firewall,Healthcare
DDoS,SIEM,Education
Phishing,Antivirus,Government
Brute Force,MFA,Manufacturing
DDoS,VPN,Government
Brute Force,Antivirus,Manufacturing
Zero-Day Exploit,VPN,Education
Phishing,Endpoint Detection,Manufacturing
Brute Force,IDS,Retail
Cross-Site Scripting,Antivirus,Education
SQL Injection,IDS,Energy
DDoS,Antivirus,Government
Zero-Day Exploit,Antivirus,Education
SQL Injection,Endpoint Detection,Manufacturing
SQL Injection,Antivirus,Manufacturing
Phishing,Antivirus,Government
Zero-Day Exploit,VPN,Finance
Phishing,Endpoint Detection,Retail
Ransomware,WAF,Technology
Malware,MFA,Government
SQL Injection,IDS,Energy
Zero-Day Exploit,VPN,Technology
SQL Injection,MFA,Government
Brute Force,VPN,Manufacturing
Brute Force,VPN,Manufacturing
Zero-Day Exploit,WAF,Government
Malware,Firewall,Government
Phishing,VPN,Retail
DDoS,WAF,Finance
Cross-Site Scripting,Endpoint Detection,Healthcare
DDoS,VPN,Energy
Cross-Site Scripting,Firewall,Education
Brute Force,Antivirus,Energy
Phishing,VPN,Technology
Zero-Day Exploit,VPN,Healthcare
Malware,WAF,Technology
Zero-Day Exploit,Firewall,Technology
Brute Force,Endpoint Detection,Healthcare
Brute Force,IDS,Energy
SQL Injection,VPN,Retail
Cross-Site Scripting,IDS,Government
Phishing,VPN,Healthcare
SQL Injection,WAF,Finance
Zero-Day Exploit,VPN,Government
Ransomware,MFA,Finance
Brute Force,Antivirus,Retail
Brute Force,SIEM,Manufacturing
Zero-Day Exploit,WAF,Energy
Phishing,Antivirus,Energy
DDoS,SIEM,Technology
Zero-Day Exploit,VPN,Healthcare
Brute Force,SIEM,Healthcare
Ransomware,IDS,Retail
Cross-Site Scripting,WAF,Education
Zero-Day Exploit,WAF,Energy
DDoS,MFA,Technology
Phishing,IDS,Technology
Phishing,MFA,Retail
SQL Injection,MFA,Healthcare
Ransomware,MFA,Retail
Ransomware,SIEM,Manufacturing
Malware,MFA,Government
DDoS,SIEM,Manufacturing
Cross-Site Scripting,SIEM,Energy
Cross-Site Scripting,WAF,Manufacturing
Cross-Site Scripting,WAF,Technology
SQL Injection,MFA,Finance
DDoS,WAF,Education
Cross-Site Scripting,IDS,Energy
Phishing,WAF,Retail
Brute Force,SIEM,Government
Ransomware,WAF,Education
Phishing,IDS,Energy
Ransomware,Antivirus,Technology
Cross-Site Scripting,Endpoint Detection,Healthcare
DDoS,Antivirus,Healthcare
Zero-Day Exploit,Firewall,Retail
Phishing,Firewall,Manufacturing
Phishing,Antivirus,Technology
Brute Force,Antivirus,Finance
Zero-Day Exploit,VPN,Manufacturing
DDoS,MFA,Education
SQL Injection,Firewall,Manufacturing
SQL Injection,Endpoint Detection,Manufacturing
Phishing,IDS,Healthcare
Cross-Site Scripting,Antivirus,Retail
DDoS,VPN,Retail
DDoS,Firewall,Retail
Ransomware,WAF,Healthcare
Brute Force,IDS,Manufacturing
DDoS,WAF,Manufacturing
Cross-Site Scripting,Endpoint Detection,Government
Malware,IDS,Healthcare
Cross-Site Scripting,Antivirus,Healthcare
DDoS,Endpoint Detection,Healthcare
Phishing,SIEM,Finance
Ransomware,VPN,Manufacturing
Cross-Site Scripting,Firewall,Technology
Phishing,VPN,Retail
Brute Force,Firewall,Education
SQL Injection,Firewall,Healthcare
Brute Force,IDS,Manufacturing
Cross-Site Scripting,Firewall,Finance
SQL Injection,Antivirus,Healthcare
Phishing,SIEM,Manufacturing
DDoS,WAF,Education
Cross-Site Scripting,Endpoint Detection,Government
SQL Injection,SIEM,Finance
Malware,IDS,Healthcare
DDoS,MFA,Technology
Malware,Antivirus,Technology
Ransomware,Endpoint Detection,Finance
Malware,WAF,Technology
Phishing,Endpoint Detection,Technology
Cross-Site Scripting,Firewall,Finance
Ransomware,Endpoint Detection,Manufacturing
Phishing,VPN,Government
Brute Force,VPN,Manufacturing
Malware,IDS,Finance
SQL Injection,IDS,Retail
Cross-Site Scripting,WAF,Retail
DDoS,WAF,Finance
Ransomware,VPN,Retail
Zero-Day Exploit,Endpoint Detection,Finance
DDoS,Antivirus,Manufacturing
DDoS,IDS,Technology
Brute Force,Endpoint Detection,Finance
SQL Injection,WAF,Manufacturing
Cross-Site Scripting,Endpoint Detection,Government
Brute Force,WAF,Energy
Ransomware,VPN,Healthcare
Phishing,MFA,Retail
DDoS,WAF,Retail
Ransomware,VPN,Manufacturing
Ransomware,WAF,Education
DDoS,WAF,Retail
DDoS,SIEM,Retail
DDoS,IDS,Technology
Malware,IDS,Education
Brute Force,Antivirus,Government
Ransomware,IDS,Technology
Brute Force,Endpoint Detection,Finance
Zero-Day Exploit,IDS,Energy
Phishing,WAF,Government
Zero-Day Exploit,MFA,Healthcare
Zero-Day Exploit,IDS,Government
DDoS,IDS,Manufacturing
SQL Injection,Endpoint Detection,Healthcare
DDoS,VPN,Finance
Phishing,VPN,Manufacturing
SQL Injection,WAF,Manufacturing
Zero-Day Exploit,WAF,Manufacturing
Cross-Site Scripting,SIEM,Manufacturing
Malware,IDS,Finance
Ransomware,IDS,Healthcare
Phishing,IDS,Retail
Zero-Day Exploit,VPN,Education
Malware,SIEM,Manufacturing
SQL Injection,IDS,Government
Zero-Day Exploit,WAF,Manufacturing
Zero-Day Exploit,Firewall,Education
Malware,Endpoint Detection,Finance
SQL Injection,Firewall,Technology
Phishing,IDS,Manufacturing
Cross-Site Scripting,IDS,Healthcare
Cross-Site Scripting,Antivirus,Government
SQL Injection,Endpoint Detection,Finance
SQL Injection,MFA,Technology
Zero-Day Exploit,Firewall,Energy
Malware,Firewall,Retail
SQL Injection,IDS,Finance
Phishing,MFA,Technology
Phishing,IDS,Technology
DDoS,WAF,Government
Zero-Day Exploit,MFA,Technology
Zero-Day Exploit,Firewall,Retail
SQL Injection,WAF,Manufacturing
DDoS,VPN,Healthcare
SQL Injection,Endpoint Detection,Healthcare
Malware,IDS,Healthcare
Ransomware,Endpoint Detection,Finance
SQL Injection,Firewall,Manufacturing
DDoS,WAF,Government
Cross-Site Scripting,Endpoint Detection,Energy
DDoS,Antivirus,Manufacturing
Phishing,VPN,Manufacturing
Zero-Day Exploit,Antivirus,Government
Cross-Site Scripting,Endpoint Detection,Retail
Brute Force,Antivirus,Technology
DDoS,Endpoint Detection,Government
Malware,Antivirus,Education
DDoS,Endpoint Detection,Education
Zero-Day Exploit,IDS,Technology
Cross-Site Scripting,IDS,Government
Zero-Day Exploit,WAF,Retail
Ransomware,Antivirus,Energy
Phishing,Antivirus,Technology
DDoS,WAF,Energy
Malware,Firewall,Government
Brute Force,IDS,Retail
DDoS,WAF,Technology
SQL Injection,Endpoint Detection,Technology
Zero-Day Exploit,Endpoint Detection,Government
Zero-Day Exploit,SIEM,Energy
Cross-Site Scripting,Endpoint Detection,Healthcare
Brute Force,Endpoint Detection,Retail
Zero-Day Exploit,MFA,Education
Malware,SIEM,Healthcare
Zero-Day Exploit,Antivirus,Finance
Phishing,SIEM,Government
Malware,MFA,Retail
Ransomware,IDS,Government
Malware,Antivirus,Government
Ransomware,Endpoint Detection,Retail
Malware,Firewall,Manufacturing
SQL Injection,Firewall,Retail
Cross-Site Scripting,Antivirus,Energy
Brute Force,MFA,Retail
Malware,SIEM,Retail
SQL Injection,Antivirus,Finance
Cross-Site Scripting,Endpoint Detection,Manufacturing
Cross-Site Scripting,Firewall,Healthcare
Malware,SIEM,Finance
Phishing,MFA,Government
Phishing,Firewall,Government
Ransomware,WAF,Finance
Phishing,IDS,Technology
SQL Injection,Firewall,Government
Ransomware,Firewall,Manufacturing
Malware,Antivirus,Technology
Malware,MFA,Technology
SQL Injection,Firewall,Government
DDoS,IDS,Manufacturing
Cross-Site Scripting,VPN,Energy
Phishing,VPN,Finance
Brute Force,VPN,Education
DDoS,Firewall,Technology
Brute Force,Firewall,Healthcare
Ransomware,VPN,Healthcare
Ransomware,Antivirus,Manufacturing
SQL Injection,Endpoint Detection,Manufacturing
DDoS,WAF,Manufacturing
Ransomware,Firewall,Energy
Cross-Site Scripting,Firewall,Manufacturing
Brute Force,SIEM,Energy
Malware,Firewall,Healthcare
DDoS,Endpoint Detection,Technology
Phishing,MFA,Energy
DDoS,Firewall,Energy
Brute Force,IDS,Finance
Phishing,WAF,Government
SQL Injection,Endpoint Detection,Finance
Ransomware,VPN,Healthcare
Phishing,MFA,Healthcare
Brute Force,Firewall,Manufacturing
Cross-Site Scripting,SIEM,Manufacturing
Ransomware,WAF,Technology
Zero-Day Exploit,Antivirus,Technology
Ransomware,IDS,Technology
SQL Injection,WAF,Technology
Cross-Site Scripting,VPN,Education
SQL Injection,Antivirus,Education
SQL Injection,VPN,Healthcare
DDoS,VPN,Technology
DDoS,WAF,Manufacturing
SQL Injection,SIEM,Technology
Malware,IDS,Manufacturing
DDoS,SIEM,Energy
DDoS,WAF,Education
Ransomware,WAF,Education
DDoS,WAF,Energy
DDoS,WAF,Education
Zero-Day Exploit,Firewall,Manufacturing
Brute Force,WAF,Energy
Malware,Firewall,Technology
Cross-Site Scripting,Endpoint Detection,Energy
Brute Force,Antivirus,Technology
Brute Force,MFA,Healthcare
Brute Force,Antivirus,Government
Malware,WAF,Manufacturing
SQL Injection,IDS,Retail
Ransomware,WAF,Government
SQL Injection,WAF,Manufacturing
Malware,Firewall,Technology
Malware,WAF,Education
Zero-Day Exploit,Antivirus,Technology
Phishing,VPN,Technology
DDoS,IDS,Finance
Brute Force,WAF,Education
DDoS,IDS,Retail
Phishing,Firewall,Technology
Phishing,WAF,Technology
Phishing,WAF,Government
DDoS,VPN,Technology
Brute Force,Firewall,Technology
Phishing,Firewall,Healthcare
DDoS,WAF,Energy
Malware,MFA,Technology
Zero-Day Exploit,VPN,Education
SQL Injection,Endpoint Detection,Government
Phishing,WAF,Education
SQL Injection,Endpoint Detection,Manufacturing
Malware,IDS,Education
Brute Force,Firewall,Education
Phishing,SIEM,Manufacturing
Malware,Antivirus,Retail
Zero-Day Exploit,Antivirus,Education
Malware,IDS,Government
SQL Injection,MFA,Manufacturing
Cross-Site Scripting,WAF,Technology
SQL Injection,MFA,Manufacturing
Zero-Day Exploit,Antivirus,Manufacturing
SQL Injection,VPN,Healthcare
Brute Force,Endpoint Detection,Finance
SQL Injection,WAF,Finance
Ransomware,SIEM,Healthcare
Zero-Day Exploit,VPN,Finance
SQL Injection,VPN,Education
Ransomware,Antivirus,Manufacturing
Malware,Endpoint Detection,Energy
Malware,WAF,Retail
Brute Force,VPN,Technology
DDoS,SIEM,Education
Phishing,Antivirus,Healthcare
Zero-Day Exploit,IDS,Education
SQL Injection,Antivirus,Technology
Malware,IDS,Energy
SQL Injection,SIEM,Education
Zero-Day Exploit,Endpoint Detection,Technology
Ransomware,MFA,Finance
DDoS,SIEM,Education
DDoS,IDS,Energy
Cross-Site Scripting,MFA,Finance
DDoS,WAF,Energy
Ransomware,VPN,Education
Zero-Day Exploit,Firewall,Government
SQL Injection,SIEM,Government
Phishing,Endpoint Detection,Government
Cross-Site Scripting,Antivirus,Manufacturing
Cross-Site Scripting,IDS,Healthcare
Ransomware,IDS,Energy
Phishing,MFA,Education
SQL Injection,Antivirus,Government
Ransomware,WAF,Retail
Zero-Day Exploit,Firewall,Manufacturing
Malware,IDS,Healthcare
Malware,WAF,Finance
Malware,WAF,Finance
Malware,SIEM,Education
DDoS,Endpoint Detection,Technology
Cross-Site Scripting,Endpoint Detection,Manufacturing
Phishing,Endpoint Detection,Energy
Malware,MFA,Technology
Malware,MFA,Energy
Zero-Day Exploit,Firewall,Technology
Brute Force,Firewall,Retail
Cross-Site Scripting,IDS,Government
SQL Injection,Antivirus,Finance
Phishing,Antivirus,Government
Ransomware,Firewall,Government
Cross-Site Scripting,VPN,Education
Brute Force,Antivirus,Healthcare
DDoS,MFA,Education
Ransomware,VPN,Finance
DDoS,VPN,Retail
DDoS,Endpoint Detection,Manufacturing
Zero-Day Exploit,Antivirus,Healthcare
Brute Force,SIEM,Technology
Ransomware,SIEM,Technology
Malware,WAF,Technology
Ransomware,SIEM,Healthcare
Cross-Site Scripting,Endpoint Detection,Finance
Phishing,MFA,Retail
Phishing,Firewall,Healthcare
Brute Force,IDS,Retail
DDoS,Firewall,Retail
Malware,VPN,Energy
Zero-Day Exploit,Endpoint Detection,Technology
SQL Injection,MFA,Healthcare
Brute Force,WAF,Finance
Brute Force,Antivirus,Technology
Zero-Day Exploit,MFA,Energy
Phishing,Firewall,Education
SQL Injection,Firewall,Healthcare
Malware,IDS,Technology
Phishing,VPN,Energy
DDoS,Firewall,Manufacturing
Brute Force,IDS,Finance
Ransomware,Firewall,Energy
SQL Injection,Endpoint Detection,Government
Cross-Site Scripting,IDS,Manufacturing
SQL Injection,MFA,Education
Malware,Antivirus,Education
SQL Injection,Antivirus,Technology
Cross-Site Scripting,Endpoint Detection,Retail
SQL Injection,MFA,Retail
Phishing,IDS,Healthcare
DDoS,IDS,Energy
Phishing,SIEM,Government
DDoS,WAF,Retail
SQL Injection,IDS,Manufacturing
Zero-Day Exploit,WAF,Education
Cross-Site Scripting,Firewall,Manufacturing
Phishing,VPN,Energy
Ransomware,MFA,Finance
Brute Force,MFA,Technology
Ransomware,WAF,Government
SQL Injection,Endpoint Detection,Technology
DDoS,VPN,Finance
Brute Force,SIEM,Finance
Malware,MFA,Government
DDoS,VPN,Education
Cross-Site Scripting,Endpoint Detection,Education
Phishing,WAF,Healthcare
Cross-Site Scripting,SIEM,Energy
SQL Injection,Endpoint Detection,Retail
Malware,MFA,Energy
Zero-Day Exploit,Antivirus,Government
Zero-Day Exploit,WAF,Finance
Zero-Day Exploit,Antivirus,Technology
Brute Force,WAF,Finance
Brute Force,Endpoint Detection,Technology
Phishing,MFA,Healthcare
Brute Force,IDS,Education
Phishing,Endpoint Detection,Energy
Ransomware,Antivirus,Technology
DDoS,MFA,Government
Ransomware,SIEM,Energy
DDoS,VPN,Government
DDoS,Antivirus,Healthcare
SQL Injection,MFA,Technology
Zero-Day Exploit,Endpoint Detection,Energy
Zero-Day Exploit,VPN,Healthcare
